Particle 1 Position,Particle 2 Position,Eigenvector Squared
3.030303030303029993e-14,4.949494949494949263e-13,4.694523580830292289e-06
3.030303030303029993e-14,5.050505050505050536e-13,5.649351948994944632e-06
3.030303030303029993e-14,5.151515151515150800e-13,6.754699305663965637e-06
3.030303030303029993e-14,5.252525252525252073e-13,8.025113097063566446e-06
3.030303030303029993e-14,5.353535353535353346e-13,9.474745502192245342e-06
3.030303030303029993e-14,5.454545454545454619e-13,1.111692921104840921e-05
3.030303030303029993e-14,5.555555555555554883e-13,1.296369791464603533e-05
3.030303030303029993e-14,5.656565656565656156e-13,1.502525738974320732e-05
3.030303030303029993e-14,5.757575757575757429e-13,1.730941594814519973e-05
3.030303030303029993e-14,5.858585858585858703e-13,1.982098606093481212e-05
3.030303030303029993e-14,5.959595959595958966e-13,2.256117205792600167e-05
3.030303030303029993e-14,6.060606060606060239e-13,2.552696181758100659e-05
3.030303030303029993e-14,6.161616161616161513e-13,2.871054316162121141e-05
3.030303030303029993e-14,6.262626262626262786e-13,3.209876809783985841e-05
3.030303030303029993e-14,6.363636363636363049e-13,3.567268995274754280e-05
3.030303030303029993e-14,6.464646464646464323e-13,3.940719964081908488e-05
3.030303030303029993e-14,6.565656565656565596e-13,4.327078767297270822e-05
3.030303030303029993e-14,6.666666666666665859e-13,4.722545787331110034e-05
3.030303030303029993e-14,6.767676767676767133e-13,5.122681703246678849e-05
3.030303030303029993e-14,6.868686868686868406e-13,5.522436179331472692e-05
3.030303030303029993e-14,6.969696969696969679e-13,5.916197989687919934e-05
3.030303030303029993e-14,7.070707070707069943e-13,6.297867751687599551e-05
3.030303030303029993e-14,7.171717171717171216e-13,6.660953784084304159e-05
3.030303030303029993e-14,7.272727272727272489e-13,6.998690843240406602e-05
3.030303030303029993e-14,7.373737373737373762e-13,7.304180641356334755e-05
3.030303030303029993e-14,7.474747474747474026e-13,7.570552137936475208e-05
3.030303030303029993e-14,7.575757575757575299e-13,7.791138649874490779e-05
3.030303030303029993e-14,7.676767676767676572e-13,7.959667881454094253e-05
3.030303030303029993e-14,7.777777777777777846e-13,8.070460072337782577e-05
3.030303030303029993e-14,7.878787878787878109e-13,8.118628641101479650e-05
3.030303030303029993e-14,7.979797979797979382e-13,8.100277007104342579e-05
3.030303030303029993e-14,8.080808080808080656e-13,8.012684746957517276e-05
3.030303030303029993e-14,8.181818181818180919e-13,7.854475923283911324e-05
3.030303030303029993e-14,8.282828282828282193e-13,7.625762347993774760e-05
3.030303030303029993e-14,8.383838383838383466e-13,7.328254738152357897e-05
